32;CFCFCEFC;0;0001
32;CFCFCEFC;0;0001
32;CFCFCEFC;0;0001
32;CFCFCEFC;0;0001
32;CFCFCEFC;0;0001
32;CFCFCEFC;0;0001
32;000050FC;1;0001
32;00001000;0;0000
32;00001001;0;0000
32;00001002;0;0000
32;00001003;0;0000
32;00001004;0;0000
32;00001005;0;0000
32;00001006;0;0000
32;00001007;0;0000
32;00001008;0;0000
32;00001009;0;0000
32;0000100A;0;0000
32;0000100B;0;0000
32;0000100C;0;0000
32;0000100D;0;0000
32;0000100E;0;0000
32;0000100F;0;0000
32;00001010;0;0000
32;00001011;0;0000
32;00001012;0;0000
32;00001013;0;0000
32;00001014;0;0000
32;00001015;0;0000
32;00001016;0;0000
32;00001017;0;0000
32;1BF0BBFC;0;0001
32;00001018;0;0000
32;00001019;0;0000
32;0000101A;0;0000
32;0000101B;0;0000
32;0000101C;0;0000
32;0000101D;0;0000
32;0000101E;0;0000
32;0000101F;0;0000
32;00001020;0;0000
32;00001021;0;0000
32;00001022;0;0000
32;00001023;0;0000
32;00001024;0;0000
32;00001025;0;0000
32;00001026;0;0000
32;00001027;0;0000
32;00001028;0;0000
32;00001029;0;0000
32;0000102A;0;0000
32;0000102B;0;0000
32;0000102C;0;0000
32;0000102D;0;0000
32;0000102E;0;0000
32;0000102F;0;0000
32;00001030;0;0000
32;00001031;0;0000
32;00001032;0;0000
32;00001033;0;0000
32;00001034;0;0000
32;00001035;0;0000
32;00001036;0;0000
32;00001037;0;0000
32;00001038;0;0000
32;00001039;0;0000
32;0000103A;0;0000
32;0000103B;0;0000
32;0000103C;0;0000
32;0000103D;0;0000
32;0000103E;0;0000
32;FBFD103F;0;1100
32;0368041C;0;0001
